0,1,2,3,4,5,6,7,8,9,10,11,12,13,winner,turn,move_number
10,0,2,2,5,5,2,6,1,2,4,3,3,3,player_2,player_2,22
13,0,0,3,0,0,5,22,0,0,0,2,1,2,player_1,player_2,43
10,1,1,0,0,0,0,22,0,11,0,1,0,2,player_2,player_1,35
0,4,4,0,5,5,5,1,4,4,4,4,4,4,player_2,player_1,1
5,8,2,1,9,0,1,10,2,2,3,1,1,3,tie,player_2,11
12,1,0,0,1,0,2,16,1,0,11,0,2,2,player_1,player_1,36
5,9,0,2,3,0,0,6,9,1,0,2,9,2,player_1,player_1,15
3,1,2,2,0,9,1,15,7,1,0,3,3,1,player_1,player_1,12
10,0,0,0,0,0,1,22,0,0,1,0,0,14,player_2,player_2,41
25,0,0,0,0,0,0,23,0,0,0,0,0,0,player_2,,58
16,1,1,0,0,0,3,15,0,0,7,3,1,1,player_1,player_1,49
6,2,12,0,8,0,0,4,0,9,2,3,1,1,player_2,player_1,17
0,4,0,5,5,5,5,0,4,4,4,4,4,4,player_2,player_2,1
23,0,2,1,1,1,2,11,1,2,1,1,2,0,player_2,player_2,23
18,1,7,5,0,1,2,6,1,0,4,0,2,1,player_2,player_1,21
17,0,0,2,2,2,2,15,3,3,0,1,0,1,tie,player_2,18
30,0,0,0,0,0,0,18,0,0,0,0,0,0,player_2,,35
20,1,0,4,2,0,1,16,0,1,0,3,0,0,player_2,player_2,37
16,2,1,4,1,1,1,16,2,1,2,1,0,0,tie,player_1,45
7,3,0,5,1,2,1,7,7,12,1,0,1,1,player_2,player_2,20
7,1,0,5,12,4,3,5,0,1,1,6,1,2,player_1,player_2,20
3,1,5,0,0,10,4,15,0,0,0,7,0,3,tie,player_1,15
10,0,0,7,1,0,7,3,6,1,6,6,0,1,player_2,player_2,9
18,2,0,0,9,0,2,15,2,0,0,0,0,0,player_1,player_1,22
9,0,0,2,1,5,0,16,1,9,0,2,0,3,player_2,player_2,22
9,8,3,1,3,4,1,5,3,2,0,6,2,1,tie,player_1,16
5,0,0,2,0,4,3,16,0,6,1,10,0,1,tie,player_1,18
17,0,2,0,0,0,1,23,0,0,5,0,0,0,player_1,player_2,54
13,2,5,1,2,0,5,9,0,6,0,2,3,0,player_1,player_1,33
11,1,1,3,8,1,5,11,0,2,0,0,3,2,tie,player_1,34
9,2,1,0,1,11,3,17,0,0,0,1,3,0,player_1,player_1,31
16,1,1,2,2,0,0,8,2,1,6,4,2,3,player_2,player_2,28
20,1,2,0,1,4,0,13,0,0,3,0,3,1,player_2,player_1,31
